P1	Wed Feb 26 13:40:34 2020																								
Replication	Start Time	End Time																							
1	6	66																							
2	72	132																							
3	138	198																							
4	204	264																							
5	270	330																							
6	336	396																							
7	402	462																							
8	468	528																							
9	534	594																							
10	600	660																							
																									
Title	Units	Rep	Min	Max	Mean	Standard Deviation	Sum	Sum of Squares	Count	Lower Limit	Upper Limit	Interval	Int. Min	Int. Max	Int. Mean	Int. Std Dev	Int. Sum	Int. Sum of Squares	Int. Count	Int. Lower Limit	Int. Upper Limit				Intervalo de confianza
L<->M Frame Y Delay from RouterLondres	seconds	3	0.0125	0.0125	0.0125	0	0.2	0.0025	16																
L<->M Frame Y Delay from RouterLondres	seconds	4	0.0125	0.0125	0.0125	0	0.25	0.003125	20																
L<->M Frame Y Delay from RouterLondres	seconds	5	0.0125	0.0125	0.0125	0	0.1875	0.00234375	15																
L<->M Frame Y Delay from RouterLondres	seconds	6	0.0125	0.0125	0.0125	0	0.1875	0.00234375	15																
L<->M Frame Y Delay from RouterLondres	seconds	7	0.0125	0.0125	0.0125	0	0.05	0.000625	4																
L<->M Frame Y Delay from RouterLondres	seconds	8	0.0125	0.0125	0.0125	0	0.125	0.0015625	10																
L<->M Frame Y Delay from RouterLondres	seconds	9	0.0125	0.0125	0.0125	0	0.0875	0.00109375	7																
L<->M Frame Y Delay from RouterLondres	seconds	10	0.0125	0.0125	0.0125	0	0.1625	0.00203125	13																
L<->M Frame Y Delay from RouterLondres	seconds	0	0.0125	0.0125	0.0125	0	0.125	0.0015625	10	0.0125	0.0125														
L<->M Frame Y Delay from RouterLondres	seconds	-1	0.0125	0.0125	0.0125	0	1.625	0.0203125	130																
Call Type Statistics from Dublin to Madrid	seconds	1	3	3	3	0	3	9	1																
Call Type Statistics from Dublin to Madrid	seconds	2	3	3	3	0	6	18	2																
Call Type Statistics from Dublin to Madrid	seconds	3	0	0	0	0	0	0	0																
Call Type Statistics from Dublin to Madrid	seconds	4	3	3	3	0	3	9	1																
Call Type Statistics from Dublin to Madrid	seconds	5	0	0	0	0	0	0	0																
Call Type Statistics from Dublin to Madrid	seconds	6	3	3	3	0	6	18	2																
Call Type Statistics from Dublin to Madrid	seconds	7	3	3	3	0	3	9	1																
Call Type Statistics from Dublin to Madrid	seconds	8	3	3	3	0	6	18	2																
Call Type Statistics from Dublin to Madrid	seconds	9	3	3	3	0	3	9	1																
Call Type Statistics from Dublin to Madrid	seconds	10	0	0	0	0	0	0	0																
Call Type Statistics from Dublin to Madrid	seconds	0	0	3	2.1	1.449137675	21	63	10	1.259963595	2.940036405														
Call Type Statistics from Dublin to Madrid	seconds	-1	0	3	3	0	30	90	10																
